epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.5616,1.53699,6.33142,0.90401,0.02699,0.12846,0.02652,0.01783,1.28473,4.02685,0.85531,0.00330218,0.00330218,0.00330218
2,71.4485,1.46257,4.60257,0.88231,0.47522,0.21777,0.12222,0.06572,1.43325,2.76205,0.90513,0.00661362,0.00661362,0.00661362
3,101.426,1.4665,3.84875,0.89615,0.44676,0.16816,0.12463,0.06759,1.53584,3.81914,0.95107,0.00990305,0.00990305,0.00990305
4,131.959,1.39332,3.07083,0.90587,0.53516,0.22114,0.17945,0.10386,1.33776,2.57658,0.9077,0.009901,0.009901,0.009901
5,162.167,1.30055,2.25167,0.89129,0.47523,0.2789,0.20767,0.12868,1.16708,2.62294,0.87318,0.009868,0.009868,0.009868
6,191.406,1.25379,1.95971,0.87595,0.48524,0.31793,0.24803,0.15578,1.16457,1.871,0.87218,0.009835,0.009835,0.009835
7,220.842,1.21959,1.8071,0.86989,0.51209,0.33644,0.26834,0.17457,1.10223,1.95365,0.86126,0.009802,0.009802,0.009802
8,250.672,1.17279,1.73045,0.86621,0.42444,0.33674,0.27409,0.18142,1.04935,1.6864,0.8536,0.009769,0.009769,0.009769
9,279.457,1.1624,1.66061,0.85739,0.37702,0.39425,0.28089,0.18913,1.01525,1.92424,0.85075,0.009736,0.009736,0.009736
10,310.162,1.13755,1.62285,0.85405,0.43093,0.3611,0.30451,0.20599,1.05681,1.61432,0.84916,0.009703,0.009703,0.009703
11,339.147,1.14354,1.59142,0.85646,0.26472,0.4091,0.29599,0.20329,0.98806,1.87505,0.84369,0.00967,0.00967,0.00967
12,369.304,1.09802,1.51585,0.85013,0.62844,0.34519,0.32809,0.22437,0.98777,1.50926,0.84276,0.009637,0.009637,0.009637
13,399.08,1.08533,1.49786,0.84371,0.43006,0.42478,0.38071,0.2629,0.98129,1.32841,0.842,0.009604,0.009604,0.009604
14,428.12,1.07913,1.44933,0.85067,0.42695,0.42439,0.37327,0.26188,0.93705,1.48646,0.83802,0.009571,0.009571,0.009571
15,457.534,1.06433,1.44106,0.84931,0.45516,0.42735,0.38987,0.27722,0.93156,1.34626,0.8349,0.009538,0.009538,0.009538
16,487.746,1.07174,1.40435,0.84926,0.47402,0.43091,0.40712,0.28638,0.92605,1.3208,0.83445,0.009505,0.009505,0.009505
